date,value,series
2020-01-01,2.21,CPIH annual rate (%)
2020-02-01,2.11,CPIH annual rate (%)
2020-03-01,2.59,CPIH annual rate (%)
2020-04-01,2.34,CPIH annual rate (%)
2020-05-01,2.03,CPIH annual rate (%)
2020-06-01,2.09,CPIH annual rate (%)
2020-07-01,2.03,CPIH annual rate (%)
2020-08-01,1.98,CPIH annual rate (%)
2020-09-01,2.42,CPIH annual rate (%)
2020-10-01,2.32,CPIH annual rate (%)
2020-11-01,2.77,CPIH annual rate (%)
2020-12-01,2.41,CPIH annual rate (%)
2021-01-01,2.53,CPIH annual rate (%)
2021-02-01,2.29,CPIH annual rate (%)
2021-03-01,2.46,CPIH annual rate (%)
2021-04-01,2.32,CPIH annual rate (%)
2021-05-01,2.67,CPIH annual rate (%)
2021-06-01,2.66,CPIH annual rate (%)
2021-07-01,2.53,CPIH annual rate (%)
2021-08-01,2.36,CPIH annual rate (%)
2021-09-01,2.17,CPIH annual rate (%)
2021-10-01,2.77,CPIH annual rate (%)
2021-11-01,2.37,CPIH annual rate (%)
2021-12-01,2.82,CPIH annual rate (%)
2022-01-01,2.72,CPIH annual rate (%)
2022-02-01,2.53,CPIH annual rate (%)
2022-03-01,2.46,CPIH annual rate (%)
2022-04-01,2.6,CPIH annual rate (%)
2022-05-01,2.6,CPIH annual rate (%)
2022-06-01,3.0,CPIH annual rate (%)
2022-07-01,2.54,CPIH annual rate (%)
2022-08-01,3.08,CPIH annual rate (%)
2022-09-01,2.91,CPIH annual rate (%)
2022-10-01,3.06,CPIH annual rate (%)
2022-11-01,2.73,CPIH annual rate (%)
2022-12-01,3.06,CPIH annual rate (%)
2023-01-01,3.11,CPIH annual rate (%)
2023-02-01,2.9,CPIH annual rate (%)
2023-03-01,2.9,CPIH annual rate (%)
2023-04-01,3.13,CPIH annual rate (%)
2023-05-01,3.02,CPIH annual rate (%)
2023-06-01,3.49,CPIH annual rate (%)
2023-07-01,3.59,CPIH annual rate (%)
2023-08-01,3.59,CPIH annual rate (%)
2023-09-01,3.6,CPIH annual rate (%)
2023-10-01,3.15,CPIH annual rate (%)
2023-11-01,3.32,CPIH annual rate (%)
2023-12-01,3.06,CPIH annual rate (%)
2024-01-01,3.53,CPIH annual rate (%)
2024-02-01,3.42,CPIH annual rate (%)
2024-03-01,3.88,CPIH annual rate (%)
2024-04-01,3.7,CPIH annual rate (%)
2024-05-01,3.76,CPIH annual rate (%)
2024-06-01,3.42,CPIH annual rate (%)
2024-07-01,3.48,CPIH annual rate (%)
2024-08-01,3.3,CPIH annual rate (%)
2024-09-01,3.52,CPIH annual rate (%)
2024-10-01,3.69,CPIH annual rate (%)
2024-11-01,3.68,CPIH annual rate (%)
2024-12-01,3.51,CPIH annual rate (%)
2025-01-01,3.73,CPIH annual rate (%)
2025-02-01,3.69,CPIH annual rate (%)
2025-03-01,3.55,CPIH annual rate (%)
2025-04-01,3.5,CPIH annual rate (%)
2025-05-01,4.19,CPIH annual rate (%)
2025-06-01,3.97,CPIH annual rate (%)
2025-07-01,3.68,CPIH annual rate (%)
2025-08-01,3.84,CPIH annual rate (%)
2025-09-01,4.06,CPIH annual rate (%)
2025-10-01,3.71,CPIH annual rate (%)
2025-11-01,4.01,CPIH annual rate (%)
