date,value,series
2020-01-01,2.38,Food CPI annual rate (%)
2020-02-01,1.62,Food CPI annual rate (%)
2020-03-01,2.5,Food CPI annual rate (%)
2020-04-01,2.42,Food CPI annual rate (%)
2020-05-01,2.0,Food CPI annual rate (%)
2020-06-01,2.3,Food CPI annual rate (%)
2020-07-01,2.08,Food CPI annual rate (%)
2020-08-01,2.27,Food CPI annual rate (%)
2020-09-01,2.05,Food CPI annual rate (%)
2020-10-01,2.31,Food CPI annual rate (%)
2020-11-01,2.21,Food CPI annual rate (%)
2020-12-01,2.41,Food CPI annual rate (%)
2021-01-01,2.62,Food CPI annual rate (%)
2021-02-01,2.38,Food CPI annual rate (%)
2021-03-01,2.23,Food CPI annual rate (%)
2021-04-01,2.02,Food CPI annual rate (%)
2021-05-01,2.12,Food CPI annual rate (%)
2021-06-01,2.7,Food CPI annual rate (%)
2021-07-01,2.46,Food CPI annual rate (%)
2021-08-01,2.4,Food CPI annual rate (%)
2021-09-01,2.59,Food CPI annual rate (%)
2021-10-01,2.28,Food CPI annual rate (%)
2021-11-01,2.68,Food CPI annual rate (%)
2021-12-01,2.57,Food CPI annual rate (%)
2022-01-01,2.66,Food CPI annual rate (%)
2022-02-01,2.93,Food CPI annual rate (%)
2022-03-01,2.94,Food CPI annual rate (%)
2022-04-01,3.01,Food CPI annual rate (%)
2022-05-01,2.68,Food CPI annual rate (%)
2022-06-01,2.56,Food CPI annual rate (%)
2022-07-01,3.02,Food CPI annual rate (%)
2022-08-01,2.99,Food CPI annual rate (%)
2022-09-01,2.72,Food CPI annual rate (%)
2022-10-01,3.24,Food CPI annual rate (%)
2022-11-01,3.04,Food CPI annual rate (%)
2022-12-01,3.06,Food CPI annual rate (%)
2023-01-01,3.06,Food CPI annual rate (%)
2023-02-01,3.1,Food CPI annual rate (%)
2023-03-01,2.97,Food CPI annual rate (%)
2023-04-01,3.03,Food CPI annual rate (%)
2023-05-01,2.92,Food CPI annual rate (%)
2023-06-01,3.14,Food CPI annual rate (%)
2023-07-01,3.09,Food CPI annual rate (%)
2023-08-01,3.01,Food CPI annual rate (%)
2023-09-01,3.77,Food CPI annual rate (%)
2023-10-01,3.38,Food CPI annual rate (%)
2023-11-01,3.34,Food CPI annual rate (%)
2023-12-01,3.18,Food CPI annual rate (%)
2024-01-01,3.31,Food CPI annual rate (%)
2024-02-01,3.17,Food CPI annual rate (%)
2024-03-01,3.61,Food CPI annual rate (%)
2024-04-01,3.34,Food CPI annual rate (%)
2024-05-01,3.14,Food CPI annual rate (%)
2024-06-01,3.55,Food CPI annual rate (%)
2024-07-01,3.29,Food CPI annual rate (%)
2024-08-01,3.43,Food CPI annual rate (%)
2024-09-01,3.59,Food CPI annual rate (%)
2024-10-01,3.47,Food CPI annual rate (%)
2024-11-01,3.78,Food CPI annual rate (%)
2024-12-01,3.94,Food CPI annual rate (%)
2025-01-01,3.78,Food CPI annual rate (%)
2025-02-01,3.74,Food CPI annual rate (%)
2025-03-01,3.64,Food CPI annual rate (%)
2025-04-01,3.52,Food CPI annual rate (%)
2025-05-01,3.73,Food CPI annual rate (%)
2025-06-01,3.95,Food CPI annual rate (%)
2025-07-01,4.26,Food CPI annual rate (%)
2025-08-01,3.83,Food CPI annual rate (%)
2025-09-01,3.67,Food CPI annual rate (%)
2025-10-01,3.83,Food CPI annual rate (%)
2025-11-01,4.21,Food CPI annual rate (%)
