date,value,series
2020-01-01,94.9,Real wages index (2019=100)
2020-02-01,96.3,Real wages index (2019=100)
2020-03-01,94.5,Real wages index (2019=100)
2020-04-01,96.4,Real wages index (2019=100)
2020-05-01,95.1,Real wages index (2019=100)
2020-06-01,96.3,Real wages index (2019=100)
2020-07-01,96.5,Real wages index (2019=100)
2020-08-01,97.8,Real wages index (2019=100)
2020-09-01,96.2,Real wages index (2019=100)
2020-10-01,95.0,Real wages index (2019=100)
2020-11-01,96.8,Real wages index (2019=100)
2020-12-01,96.0,Real wages index (2019=100)
2021-01-01,96.1,Real wages index (2019=100)
2021-02-01,96.7,Real wages index (2019=100)
2021-03-01,97.2,Real wages index (2019=100)
2021-04-01,97.5,Real wages index (2019=100)
2021-05-01,98.5,Real wages index (2019=100)
2021-06-01,96.9,Real wages index (2019=100)
2021-07-01,99.5,Real wages index (2019=100)
2021-08-01,97.8,Real wages index (2019=100)
2021-09-01,97.6,Real wages index (2019=100)
2021-10-01,98.8,Real wages index (2019=100)
2021-11-01,98.5,Real wages index (2019=100)
2021-12-01,99.7,Real wages index (2019=100)
2022-01-01,99.9,Real wages index (2019=100)
2022-02-01,99.7,Real wages index (2019=100)
2022-03-01,99.8,Real wages index (2019=100)
2022-04-01,100.5,Real wages index (2019=100)
2022-05-01,97.8,Real wages index (2019=100)
2022-06-01,99.5,Real wages index (2019=100)
2022-07-01,98.2,Real wages index (2019=100)
2022-08-01,99.7,Real wages index (2019=100)
2022-09-01,99.4,Real wages index (2019=100)
2022-10-01,99.6,Real wages index (2019=100)
2022-11-01,99.8,Real wages index (2019=100)
2022-12-01,99.3,Real wages index (2019=100)
2023-01-01,99.9,Real wages index (2019=100)
2023-02-01,101.1,Real wages index (2019=100)
2023-03-01,100.6,Real wages index (2019=100)
2023-04-01,100.7,Real wages index (2019=100)
2023-05-01,100.8,Real wages index (2019=100)
2023-06-01,101.3,Real wages index (2019=100)
2023-07-01,99.9,Real wages index (2019=100)
2023-08-01,101.5,Real wages index (2019=100)
2023-09-01,101.3,Real wages index (2019=100)
2023-10-01,101.4,Real wages index (2019=100)
2023-11-01,102.2,Real wages index (2019=100)
2023-12-01,102.1,Real wages index (2019=100)
2024-01-01,102.2,Real wages index (2019=100)
2024-02-01,102.3,Real wages index (2019=100)
2024-03-01,101.8,Real wages index (2019=100)
2024-04-01,102.9,Real wages index (2019=100)
2024-05-01,101.9,Real wages index (2019=100)
2024-06-01,101.6,Real wages index (2019=100)
2024-07-01,103.1,Real wages index (2019=100)
2024-08-01,102.5,Real wages index (2019=100)
2024-09-01,102.6,Real wages index (2019=100)
2024-10-01,103.5,Real wages index (2019=100)
2024-11-01,103.6,Real wages index (2019=100)
2024-12-01,103.2,Real wages index (2019=100)
2025-01-01,103.3,Real wages index (2019=100)
2025-02-01,103.9,Real wages index (2019=100)
2025-03-01,104.2,Real wages index (2019=100)
2025-04-01,105.0,Real wages index (2019=100)
2025-05-01,104.7,Real wages index (2019=100)
2025-06-01,105.1,Real wages index (2019=100)
2025-07-01,102.9,Real wages index (2019=100)
2025-08-01,103.8,Real wages index (2019=100)
2025-09-01,105.0,Real wages index (2019=100)
2025-10-01,106.2,Real wages index (2019=100)
2025-11-01,104.8,Real wages index (2019=100)
