geo_id,Data values,Data description,Year,Area
W06000001,2230,Active enterprises,2024,Isle of Anglesey
W06000002,4445,Active enterprises,2024,Gwynedd
W06000003,4190,Active enterprises,2024,Conwy
W06000004,3285,Active enterprises,2024,Denbighshire
W06000005,5360,Active enterprises,2024,Flintshire
W06000006,3990,Active enterprises,2024,Wrexham
W06000023,5830,Active enterprises,2024,Powys
W06000008,2900,Active enterprises,2024,Ceredigion
W06000009,4835,Active enterprises,2024,Pembrokeshire
W06000010,6315,Active enterprises,2024,Carmarthenshire
W06000011,7325,Active enterprises,2024,Swansea
W06000012,3220,Active enterprises,2024,Neath Port Talbot
W06000013,4045,Active enterprises,2024,Bridgend
W06000014,4715,Active enterprises,2024,Vale of Glamorgan
W06000015,13010,Active enterprises,2024,Cardiff
W06000016,6080,Active enterprises,2024,Rhondda Cynon Taf
W06000024,1360,Active enterprises,2024,Merthyr Tydfil
W06000018,4385,Active enterprises,2024,Caerphilly
W06000019,1435,Active enterprises,2024,Blaenau Gwent
W06000020,2760,Active enterprises,2024,Torfaen
W06000021,4080,Active enterprises,2024,Monmouthshire
W06000022,4625,Active enterprises,2024,Newport
